 Generation (GWh) - Total
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2016/01",        2.45,       18.50,        0.00,        0.00,        0.00,        0.00
"2016/02",        2.10,       16.82,        0.00,        0.00,        0.00,        0.00
"2016/03",        2.65,       18.30,        0.00,        0.00,        0.00,        0.00
"2016/04",        2.20,       18.08,        0.00,        0.00,        0.00,        0.00
"2016/05",        2.17,       18.78,        0.00,        0.00,        0.00,        0.00
"2016/06",        2.75,       17.52,        0.00,        0.00,        0.00,        0.00
"2016/07",        2.18,       18.77,        0.00,        0.00,        0.00,        0.00
"2016/08",        2.77,       18.19,        0.00,        0.00,        0.00,        0.00
"2016/09",        2.92,       17.36,        0.00,        0.00,        0.00,        0.00
"2016/10",        2.81,       18.14,        0.00,        0.00,        0.00,        0.00
"2016/11",        1.31,       18.97,        0.00,        0.00,        0.00,        0.00
"2016/12",        2.67,       18.28,        0.00,        0.00,        0.00,        0.00
