Varies per block?       ,    0,Unit    ,hm3    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
   1,   1,   1,  50.000    ,  50.000                                  
   2,   1,   1,  27.368    ,  50.000                                  
   3,   1,   1,  47.573    ,  50.000                                  
   4,   1,   1,  48.069    ,  50.000                                  
   5,   1,   1,  50.000    ,  50.000                                  
   6,   1,   1,  48.482    ,  50.000                                  
   7,   1,   1,  40.369    ,  50.000                                  
   8,   1,   1,  45.826    ,  50.000                                  
   9,   1,   1,  24.711    ,  50.000                                  
  10,   1,   1,  1.4805    ,  50.000                                  
  11,   1,   1,  1.0229    ,  50.000                                  
  12,   1,   1,  3.3989    ,  50.000                                  
  13,   1,   1,  0.0000    ,  50.000                                  
