Section,Total time [s],Self time [s],Count
Main,1.79,0.1,1
Policy,0.19,0.01,1
Initilization of states,0.01,0.,1
Forward,0.06,0.04,3
Backward,0.07,0.02,3
Simulation,0.13,0.1,1
Solver initialization,0.01,0.01,93
Solver load,0.,0.,93
Solver solve,0.01,0.01,167
B matrix calculation,0.,0.,93
Inflows generation,0.01,0.01,1
Network solution,0.,0.,288
Flows calculation,0.05,0.04,2232
SDDP: load study,0.11,0.11,4
SDDP: update stage,0.,0.,117
SDDP: update scenario,0.01,0.01,117
PSRClasses: load study,0.26,0.26,2
PSRClasses: update stage,0.02,0.02,153
Simulation statistics,0.98,0.27,1
Post-processing (PSRIO),0.71,0.71,1
Working files backup,0.05,0.05,4
PSRNetwork: solveB,0.,0.,2232
PSRNetwork: other,0.02,0.02,7078
Check Cut,0.,0.,167
