Varies per block?       ,    1,Unit    ,h      ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   3,   1,  13,  31.000                                               
   3,   1,  14,  31.000                                               
   3,   1,  15,  31.000                                               
   3,   1,  16,  31.000                                               
   3,   1,  17,  31.000                                               
   3,   1,  18,  31.000                                               
   3,   1,  19,  31.000                                               
   3,   1,  20,  31.000                                               
   3,   1,  21,  31.000                                               
   3,   1,  22,  31.000                                               
   3,   1,  23,  31.000                                               
   3,   1,  24,  31.000                                               
   4,   1,   1,  30.000                                               
   4,   1,   2,  30.000                                               
   4,   1,   3,  30.000                                               
   4,   1,   4,  30.000                                               
   4,   1,   5,  30.000                                               
   4,   1,   6,  30.000                                               
   4,   1,   7,  30.000                                               
   4,   1,   8,  30.000                                               
   4,   1,   9,  30.000                                               
   4,   1,  10,  30.000                                               
   4,   1,  11,  30.000                                               
   4,   1,  12,  30.000                                               
   4,   1,  13,  30.000                                               
   4,   1,  14,  30.000                                               
   4,   1,  15,  30.000                                               
   4,   1,  16,  30.000                                               
   4,   1,  17,  30.000                                               
   4,   1,  18,  30.000                                               
   4,   1,  19,  30.000                                               
   4,   1,  20,  30.000                                               
   4,   1,  21,  30.000                                               
   4,   1,  22,  30.000                                               
   4,   1,  23,  30.000                                               
   4,   1,  24,  30.000                                               
   5,   1,   1,  31.000                                               
   5,   1,   2,  31.000                                               
   5,   1,   3,  31.000                                               
   5,   1,   4,  31.000                                               
   5,   1,   5,  31.000                                               
   5,   1,   6,  31.000                                               
   5,   1,   7,  31.000                                               
   5,   1,   8,  31.000                                               
   5,   1,   9,  31.000                                               
   5,   1,  10,  31.000                                               
   5,   1,  11,  31.000                                               
   5,   1,  12,  31.000                                               
   5,   1,  13,  31.000                                               
   5,   1,  14,  31.000                                               
   5,   1,  15,  31.000                                               
   5,   1,  16,  31.000                                               
   5,   1,  17,  31.000                                               
   5,   1,  18,  31.000                                               
   5,   1,  19,  31.000                                               
   5,   1,  20,  31.000                                               
   5,   1,  21,  31.000                                               
   5,   1,  22,  31.000                                               
   5,   1,  23,  31.000                                               
   5,   1,  24,  31.000                                               
   6,   1,   1,  30.000                                               
   6,   1,   2,  30.000                                               
   6,   1,   3,  30.000                                               
   6,   1,   4,  30.000                                               
   6,   1,   5,  30.000                                               
   6,   1,   6,  30.000                                               
   6,   1,   7,  30.000                                               
   6,   1,   8,  30.000                                               
   6,   1,   9,  30.000                                               
   6,   1,  10,  30.000                                               
   6,   1,  11,  30.000                                               
   6,   1,  12,  30.000                                               
   6,   1,  13,  30.000                                               
   6,   1,  14,  30.000                                               
   6,   1,  15,  30.000                                               
   6,   1,  16,  30.000                                               
   6,   1,  17,  30.000                                               
   6,   1,  18,  30.000                                               
   6,   1,  19,  30.000                                               
   6,   1,  20,  30.000                                               
   6,   1,  21,  30.000                                               
   6,   1,  22,  30.000                                               
   6,   1,  23,  30.000                                               
   6,   1,  24,  30.000                                               
   7,   1,   1,  31.000                                               
   7,   1,   2,  31.000                                               
   7,   1,   3,  31.000                                               
   7,   1,   4,  31.000                                               
   7,   1,   5,  31.000                                               
   7,   1,   6,  31.000                                               
   7,   1,   7,  31.000                                               
   7,   1,   8,  31.000                                               
   7,   1,   9,  31.000                                               
   7,   1,  10,  31.000                                               
   7,   1,  11,  31.000                                               
   7,   1,  12,  31.000                                               
   7,   1,  13,  31.000                                               
   7,   1,  14,  31.000                                               
   7,   1,  15,  31.000                                               
   7,   1,  16,  31.000                                               
   7,   1,  17,  31.000                                               
   7,   1,  18,  31.000                                               
   7,   1,  19,  31.000                                               
   7,   1,  20,  31.000                                               
   7,   1,  21,  31.000                                               
   7,   1,  22,  31.000                                               
   7,   1,  23,  31.000                                               
   7,   1,  24,  31.000                                               
   8,   1,   1,  31.000                                               
   8,   1,   2,  31.000                                               
   8,   1,   3,  31.000                                               
   8,   1,   4,  31.000                                               
   8,   1,   5,  31.000                                               
   8,   1,   6,  31.000                                               
   8,   1,   7,  31.000                                               
   8,   1,   8,  31.000                                               
   8,   1,   9,  31.000                                               
   8,   1,  10,  31.000                                               
   8,   1,  11,  31.000                                               
   8,   1,  12,  31.000                                               
   8,   1,  13,  31.000                                               
   8,   1,  14,  31.000                                               
   8,   1,  15,  31.000                                               
   8,   1,  16,  31.000                                               
   8,   1,  17,  31.000                                               
   8,   1,  18,  31.000                                               
   8,   1,  19,  31.000                                               
   8,   1,  20,  31.000                                               
   8,   1,  21,  31.000                                               
   8,   1,  22,  31.000                                               
   8,   1,  23,  31.000                                               
   8,   1,  24,  31.000                                               
   9,   1,   1,  30.000                                               
   9,   1,   2,  30.000                                               
   9,   1,   3,  30.000                                               
   9,   1,   4,  30.000                                               
   9,   1,   5,  30.000                                               
   9,   1,   6,  30.000                                               
   9,   1,   7,  30.000                                               
   9,   1,   8,  30.000                                               
   9,   1,   9,  30.000                                               
   9,   1,  10,  30.000                                               
   9,   1,  11,  30.000                                               
   9,   1,  12,  30.000                                               
   9,   1,  13,  30.000                                               
   9,   1,  14,  30.000                                               
   9,   1,  15,  30.000                                               
   9,   1,  16,  30.000                                               
   9,   1,  17,  30.000                                               
   9,   1,  18,  30.000                                               
   9,   1,  19,  30.000                                               
   9,   1,  20,  30.000                                               
   9,   1,  21,  30.000                                               
   9,   1,  22,  30.000                                               
   9,   1,  23,  30.000                                               
   9,   1,  24,  30.000                                               
  10,   1,   1,  31.000                                               
  10,   1,   2,  31.000                                               
  10,   1,   3,  31.000                                               
  10,   1,   4,  31.000                                               
  10,   1,   5,  31.000                                               
  10,   1,   6,  31.000                                               
  10,   1,   7,  31.000                                               
  10,   1,   8,  31.000                                               
  10,   1,   9,  31.000                                               
  10,   1,  10,  31.000                                               
  10,   1,  11,  31.000                                               
  10,   1,  12,  31.000                                               
  10,   1,  13,  31.000                                               
  10,   1,  14,  31.000                                               
  10,   1,  15,  31.000                                               
  10,   1,  16,  31.000                                               
  10,   1,  17,  31.000                                               
  10,   1,  18,  31.000                                               
  10,   1,  19,  31.000                                               
  10,   1,  20,  31.000                                               
  10,   1,  21,  31.000                                               
  10,   1,  22,  31.000                                               
  10,   1,  23,  31.000                                               
  10,   1,  24,  31.000                                               
  11,   1,   1,  30.000                                               
  11,   1,   2,  30.000                                               
  11,   1,   3,  30.000                                               
  11,   1,   4,  30.000                                               
  11,   1,   5,  30.000                                               
  11,   1,   6,  30.000                                               
  11,   1,   7,  30.000                                               
  11,   1,   8,  30.000                                               
  11,   1,   9,  30.000                                               
  11,   1,  10,  30.000                                               
  11,   1,  11,  30.000                                               
  11,   1,  12,  30.000                                               
  11,   1,  13,  30.000                                               
  11,   1,  14,  30.000                                               
  11,   1,  15,  30.000                                               
  11,   1,  16,  30.000                                               
  11,   1,  17,  30.000                                               
  11,   1,  18,  30.000                                               
  11,   1,  19,  30.000                                               
  11,   1,  20,  30.000                                               
  11,   1,  21,  30.000                                               
  11,   1,  22,  30.000                                               
  11,   1,  23,  30.000                                               
  11,   1,  24,  30.000                                               
  12,   1,   1,  31.000                                               
  12,   1,   2,  31.000                                               
  12,   1,   3,  31.000                                               
  12,   1,   4,  31.000                                               
  12,   1,   5,  31.000                                               
  12,   1,   6,  31.000                                               
  12,   1,   7,  31.000                                               
  12,   1,   8,  31.000                                               
  12,   1,   9,  31.000                                               
  12,   1,  10,  31.000                                               
  12,   1,  11,  31.000                                               
  12,   1,  12,  31.000                                               
  12,   1,  13,  31.000                                               
  12,   1,  14,  31.000                                               
  12,   1,  15,  31.000                                               
  12,   1,  16,  31.000                                               
  12,   1,  17,  31.000                                               
  12,   1,  18,  31.000                                               
  12,   1,  19,  31.000                                               
  12,   1,  20,  31.000                                               
  12,   1,  21,  31.000                                               
  12,   1,  22,  31.000                                               
  12,   1,  23,  31.000                                               
  12,   1,  24,  31.000                                               
