!BCod ..Bus.Name.. LCod dd/mm/yyyy Llev ..Load.. Icca
    2 B2              1 01/01/2016    1       1.    0
    2 B2              1 01/01/2016    2       1.    0
    2 B2              1 01/01/2016    3       1.    0
    2 B2              1 01/01/2016    4       1.    0
    2 B2              1 01/01/2016    5       1.    0
    2 B2              1 01/01/2016    6       1.    0
    2 B2              1 01/01/2016    7       1.    0
    2 B2              1 01/01/2016    8       1.    0
    2 B2              1 01/01/2016    9       1.    0
    2 B2              1 01/01/2016   10       1.    0
    2 B2              1 01/01/2016   11       1.    0
    2 B2              1 01/01/2016   12       1.    0
    2 B2              1 01/01/2016   13       1.    0
    2 B2              1 01/01/2016   14       1.    0
    2 B2              1 01/01/2016   15       1.    0
    2 B2              1 01/01/2016   16       1.    0
    2 B2              1 01/01/2016   17       1.    0
    2 B2              1 01/01/2016   18       1.    0
    2 B2              1 01/01/2016   19       1.    0
    2 B2              1 01/01/2016   20       1.    0
    2 B2              1 01/01/2016   21       1.    0
    2 B2              1 01/01/2016   22       1.    0
    2 B2              1 01/01/2016   23       1.    0
    2 B2              1 01/01/2016   24       1.    0
