 1/2010      1      2
 1/2010   13.5     0.
 2/2010   40.7     0.
 3/2010   28.8     0.
 4/2010   25.6     0.
 5/2010   23.8     0.
 6/2010   27.8     0.
 7/2010   28.8     0.
 8/2010   18.8     0.
 9/2010   18.2     0.
10/2010   29.6     0.
11/2010   17.7     0.
12/2010   26.3     0.
 1/2011     8.     0.
 2/2011    24.     0.
 3/2011    18.     0.
 4/2011    16.     0.
 5/2011    14.     0.
 6/2011    16.     0.
 7/2011   16.7     0.
 8/2011   10.7     0.
 9/2011   11.3     0.
10/2011   18.7     0.
11/2011    10.     0.
12/2011   16.7     0.
 1/2012    7.3     0.
 2/2012   14.5     0.
 3/2012   12.9     0.
 4/2012   13.3     0.
 5/2012    9.3     0.
 6/2012   12.3     0.
 7/2012   10.4     0.
 8/2012    7.9     0.
 9/2012    9.9     0.
10/2012   12.9     0.
11/2012    6.5     0.
12/2012   13.3     0.
 1/2013   16.5     0.
 2/2013   49.5     0.
 3/2013    39.     0.
 4/2013   34.5     0.
 5/2013    30.     0.
 6/2013    33.     0.
 7/2013   34.5     0.
 8/2013   22.5     0.
 9/2013    24.     0.
10/2013   40.5     0.
11/2013   19.5     0.
12/2013   37.5     0.
 1/2014   18.2     0.
 2/2014   81.7     0.
 3/2014   54.6     0.
 4/2014   41.4     0.
 5/2014    45.     0.
 6/2014   42.9     0.
 7/2014   55.2     0.
 8/2014   30.4     0.
 9/2014   27.6     0.
10/2014   58.7     0.
11/2014   30.2     0.
12/2014   46.9     0.
 1/2015    15.     0.
 2/2015    50.     0.
 3/2015    30.     0.
 4/2015    27.     0.
 5/2015    26.     0.
 6/2015    31.     0.
 7/2015    38.     0.
 8/2015    22.     0.
 9/2015    24.     0.
10/2015    32.     0.
11/2015    20.     0.
12/2015    30.     0.
