Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,Cost: Total operating,Cost: Energy deficit             
   1,   1,   1,               227.47,                 1.55            
   2,   1,   1,               205.46,                  1.4            
   3,   1,   1,               227.47,                 1.55            
   4,   1,   1,               220.13,                  1.5            
   5,   1,   1,               227.47,                 1.55            
   6,   1,   1,               220.13,                  1.5            
   7,   1,   1,               227.47,                 1.55            
   8,   1,   1,               227.47,                 1.55            
   9,   1,   1,               220.13,                  1.5            
  10,   1,   1,               227.47,                 1.55            
  11,   1,   1,               220.13,                  1.5            
  12,   1,   1,               227.47,                 1.55            
